Cuota_Inicial__c,Presupuesto_inmueble_a_comprar__c,ingresos_totales__c,Ingresos_familiares__c,Calidad_de_lead__c,picklist_ciudad__c
7000000.0,300000000.0,5000000.0,5000000.0,Descalificado,Bogotá
2000000.0,200000000.0,2800000.0,2800000.0,Descalificado,Bogotá
4000000.0,,800000.0,800000.0,Descalificado,Bogotá
700.0,18000000.0,1800000.0,1800000.0,Descalificado,Bogotá
0.0,170000000.0,3000000.0,3000000.0,Descalificado,Bogotá
5000000.0,180000000.0,3000000.0,3000000.0,Descalificado,Bogotá
20000000.0,210000000.0,3000000.0,3000000.0,Descalificado,Bogotá
20000000.0,120000000.0,5000000.0,5000000.0,Alta,Bogotá
25000000.0,220000000.0,5000000.0,5000000.0,Descalificado,Bogotá
0.0,500000000.0,18000000.0,18000000.0,Descalificado,Bogotá
24000000.0,150000000.0,4700000.0,4700000.0,Media,Bogotá
20000000.0,,6000000.0,6000000.0,Descalificado,Bogotá
20000000.0,200000000.0,6000000.0,6000000.0,Descalificado,Bogotá
0.0,0.0,1940606.0,1940606.0,Descalificado,Bogotá
0.0,250000000.0,1450000.0,1450000.0,Descalificado,Bogotá
40000000.0,300000000.0,7000000.0,7000000.0,Descalificado,Bogotá
5000000.0,150000000.0,2500000.0,2500000.0,Descalificado,Bucaramanga
10000000.0,400000000.0,5500000.0,5500000.0,Descalificado,Bogotá
3000000.0,200000000.0,1600000.0,1600000.0,Descalificado,Bogotá
30000000.0,200000000.0,10000000.0,10000000.0,Media,Bogotá
25000000.0,160000000.0,2000000.0,2000000.0,Descalificado,Bogotá
45000000.0,250000000.0,4000000.0,4000000.0,Descalificado,Bogotá
5000000.0,100000000.0,1500000.0,1500000.0,Descalificado,Medellín
12000000.0,80000000.0,2400000.0,2400000.0,Descalificado,Medellín
10000000.0,400000000.0,9000000.0,9000000.0,Descalificado,Bogotá
5000000.0,120000000.0,2800000.0,2800000.0,Descalificado,Cúcuta
40.0,500.0,18.0,18.0,Descalificado,Bogotá
40000000.0,500000000.0,18000000.0,18000000.0,Descalificado,Bogotá
0.0,90000000.0,1160000.0,1160000.0,Descalificado,Bogotá
30000000.0,350000000.0,5100000.0,5100000.0,Descalificado,Bogotá
10000000.0,250000000.0,1700000.0,1700000.0,Descalificado,Bogotá
20000000.0,,2700000.0,2700000.0,Descalificado,Bogotá
300.0,,1300000.0,1300000.0,Descalificado,Bogotá
5000000.0,185000000.0,3900000.0,3900000.0,Descalificado,Bogotá
8000000.0,198000000.0,1600000.0,1600000.0,Descalificado,Bogotá
30000000.0,250000000.0,2000000.0,2000000.0,Descalificado,Ibagué
10000000.0,200000000.0,2000000.0,2000000.0,Descalificado,Bogotá
20000000.0,100000000.0,2000000.0,2000000.0,Descalificado,Bucaramanga
10000000.0,10000000.0,3000000.0,3000000.0,Descalificado,Bogotá
17000000.0,350000000.0,6000000.0,6000000.0,Descalificado,Bogotá
30000000.0,175000000.0,4500000.0,4500000.0,Alta,Bogotá
22000000.0,130000000.0,6000000.0,6000000.0,Descalificado,
30000000.0,120000000.0,1800000.0,1800000.0,Descalificado,Barranquilla
20000000.0,25000000.0,1800000.0,1800000.0,Descalificado,Bogotá
40000000.0,230000000.0,3200000.0,3200000.0,Descalificado,Bogotá
0.0,120000000.0,2500000.0,2500000.0,Descalificado,Cali
20000000.0,500000.0,8219000.0,8219000.0,Descalificado,Bogotá
2000000.0,250000000.0,6000000.0,6000000.0,Descalificado,Bogotá
10000000.0,150000000.0,1100000.0,1100000.0,Descalificado,Bogotá
4000000.0,400000000.0,7000000.0,7000000.0,Descalificado,Bogotá
15000000.0,180000000.0,4000000.0,4000000.0,Descalificado,Bogotá
20000000.0,100000000.0,5000000.0,5000000.0,Alta,Bogotá
150000000.0,250000000.0,7000000.0,7000000.0,Alta,Bogotá
10000000.0,250000000.0,4600000.0,4600000.0,Descalificado,Bogotá
125000000.0,350000000.0,8000000.0,8000000.0,Alta,Bogotá
20000000.0,150000000.0,8000000.0,8000000.0,Descalificado,Bogotá
90000000.0,240000000.0,6000000.0,6000000.0,Alta,Bogotá
0.0,,2000000.0,2000000.0,Descalificado,Bogotá
40000000.0,350000000.0,7000000.0,7000000.0,Descalificado,Bogotá
120000000.0,300000000.0,8000000.0,8000000.0,Alta,Bogotá
10000000.0,120000000.0,3000000.0,3000000.0,Descalificado,Bogotá
15000000.0,400000000.0,10000000.0,10000000.0,Descalificado,Bogotá
35000000.0,350000000.0,15015000.0,15015000.0,Descalificado,Bogotá
0.0,,4000000.0,4000000.0,Descalificado,Bogotá
26000000.0,160000000.0,9000000.0,9000000.0,Media,Bogotá
25000000.0,170000000.0,1800000.0,1800000.0,Descalificado,Bogotá
20000000.0,,3200000.0,3200000.0,Descalificado,Medellín
15000000.0,370000000.0,5000000.0,5000000.0,Descalificado,Bogotá
40000000.0,320000000.0,5000000.0,5000000.0,Descalificado,Bogotá
30000000.0,190000000.0,5900000.0,5900000.0,Descalificado,
15000000.0,,1800000.0,1800000.0,Descalificado,Bogotá
50000000.0,150000000.0,7000000.0,7000000.0,Alta,Bogotá
0.0,100000000.0,1700000.0,1700000.0,Descalificado,Bogotá
600.0,120000000.0,2000000.0,2000000.0,Descalificado,Bogotá
10000000.0,170000000.0,5000000.0,5000000.0,Descalificado,Bogotá
1000000.0,200000000.0,1300000.0,1300000.0,Descalificado,Bogotá
8000000.0,250000000.0,6600000.0,6600000.0,Descalificado,Bogotá
20000000.0,110000000.0,5000000.0,5000000.0,Alta,Bogotá
7000000.0,50000000.0,2000000.0,2000000.0,Descalificado,Medellín
1000000.0,140000000.0,1500000.0,1500000.0,Descalificado,Bogotá
10000000.0,,3300000.0,3300000.0,Descalificado,Bogotá
50000000.0,400000000.0,8700000.0,8700000.0,Descalificado,Bogotá
20000000.0,250000000.0,7000000.0,7000000.0,Descalificado,Cali
50000000.0,350000000.0,4000000.0,4000000.0,Descalificado,Bogotá
120000000.0,400000000.0,8000000.0,8000000.0,Media,Bogotá
40000000.0,200000000.0,8000000.0,8000000.0,Alta,Bogotá
2000000.0,130000000.0,1500000.0,1500000.0,Descalificado,Villavicencio
2000000.0,250000000.0,2000000.0,2000000.0,Descalificado,Cali
50000000.0,250000000.0,5500000.0,5500000.0,Descalificado,Medellín
30000000.0,350000000.0,5000000.0,5000000.0,Descalificado,
60000000.0,380000000.0,5000000.0,5000000.0,Descalificado,Bogotá
15000000.0,160000000.0,4000000.0,4000000.0,Descalificado,Bogotá
5000000.0,90000000.0,1500000.0,1500000.0,Descalificado,Bogotá
20000000.0,180000000.0,5000000.0,5000000.0,Descalificado,Bogotá
5000000.0,260000000.0,4000000.0,4000000.0,Descalificado,Bogotá
100000000.0,1000000000.0,17000000.0,17000000.0,Descalificado,Bogotá
30000000.0,400000000.0,7000000.0,7000000.0,Descalificado,Bogotá
24000000.0,160000000.0,3700000.0,3700000.0,Descalificado,Barranquilla
30000000.0,350000000.0,22000000.0,22000000.0,Descalificado,Bogotá
8000000.0,120000000.0,1600000.0,1600000.0,Descalificado,Bogotá
15000000.0,200000000.0,2800000.0,2800000.0,Descalificado,Bogotá
5000000.0,150000000.0,4000000.0,4000000.0,Descalificado,Cúcuta
40000000.0,210000000.0,6000000.0,6000000.0,Alta,Bogotá
4000000.0,250000000.0,2300000.0,2300000.0,Descalificado,Bogotá
50000000.0,250000000.0,6000000.0,6000000.0,Alta,Bogotá
5000000.0,110000000.0,2000000.0,2000000.0,Descalificado,Bogotá
10000000.0,250000000.0,8000000.0,8000000.0,Descalificado,Bogotá
61750000.0,,5950000.0,5950000.0,Descalificado,
64650000.0,215500000.0,6500000.0,6500000.0,Descalificado,
20000000.0,190000000.0,4000000.0,4000000.0,Descalificado,Bogotá
40000000.0,250000000.0,6000000.0,6000000.0,Media,Bogotá
25000000.0,150000000.0,5000000.0,5000000.0,Descalificado,
5000000.0,325000000.0,4000000.0,4000000.0,Descalificado,Bogotá
20000000.0,350000000.0,3000000.0,3000000.0,Descalificado,Medellín
30000000.0,400000000.0,12000000.0,12000000.0,Descalificado,Medellín
4000000.0,145000000.0,1300000.0,1300000.0,Descalificado,Bogotá
50000000.0,500000000.0,15000000.0,15000000.0,Descalificado,Bogotá
5000000.0,160000000.0,5000000.0,5000000.0,Descalificado,Bogotá
20000000.0,650000000.0,7000000.0,7000000.0,Descalificado,Medellín
0.0,160000000.0,2200000.0,2200000.0,Descalificado,Bogotá
2000000.0,175000000.0,1800000.0,1800000.0,Descalificado,Bogotá
50000000.0,300000000.0,20000000.0,20000000.0,Descalificado,
100000000.0,930000000.0,22000000.0,22000000.0,Descalificado,Medellín
5000000.0,,2000000.0,2000000.0,Descalificado,Bogotá
4000000.0,250000000.0,4200000.0,4200000.0,Descalificado,Bogotá
6000000.0,120000000.0,2800000.0,2800000.0,Descalificado,Cali
26000000.0,145000000.0,1300000.0,1300000.0,Descalificado,Bogotá
10000000.0,100000000.0,1300000.0,1300000.0,Descalificado,Medellín
20000000.0,180000000.0,6500000.0,6500000.0,Descalificado,Barranquilla
5000000.0,5000000.0,2000000.0,2000000.0,Descalificado,Pereira
5000000.0,2000000.0,2000000.0,2000000.0,Descalificado,Pereira
10000000.0,130000000.0,4000000.0,4000000.0,Descalificado,Bogotá
5000000.0,145000000.0,4000000.0,4000000.0,Descalificado,Bogotá
25000000.0,25000000.0,4800000.0,4800000.0,Descalificado,Bogotá
40000000.0,240000000.0,3150000.0,3150000.0,Descalificado,Bogotá
15000000.0,120000000.0,1470000.0,1470000.0,Descalificado,Bogotá
25000000.0,400000000.0,8000000.0,8000000.0,Descalificado,Bogotá
70000000.0,350000000.0,8900000.0,8900000.0,Descalificado,
0.0,350000000.0,6000000.0,6000000.0,Descalificado,Bogotá
3000000.0,150.0,2000000.0,2000000.0,Descalificado,Bogotá
5000000.0,150000000.0,3000000.0,3000000.0,Descalificado,Bogotá
60000000.0,300000000.0,12000000.0,12000000.0,Alta,Bogotá
100000000.0,600.0,16900000.0,16900000.0,Descalificado,Bogotá
47000000.0,233000000.0,4000000.0,4000000.0,Media,Bogotá
100000000.0,500.0,3000000.0,3000000.0,Descalificado,Bogotá
100000000.0,500000000.0,3000000.0,3000000.0,Descalificado,Bogotá
100000000.0,400000000.0,6000000.0,6000000.0,Descalificado,Bogotá
40000000.0,240000000.0,9500000.0,9500000.0,Descalificado,
25000000.0,100000000.0,1700000.0,1700000.0,Media,Bogotá
90000000.0,600000000.0,16900000.0,16900000.0,Descalificado,Bogotá
42500000.0,139000000.0,1838000.0,1838000.0,Descalificado,Bogotá
75000000.0,165000000.0,4000000.0,4000000.0,Alta,Bogotá
0.0,200000000.0,5000000.0,5000000.0,Descalificado,Bogotá
25000000.0,115000000.0,2900000.0,2900000.0,Descalificado,
30000000.0,300000000.0,8000000.0,8000000.0,Descalificado,Bogotá
30000000.0,180000000.0,5500000.0,5500000.0,Descalificado,
5000000.0,200000000.0,3000000.0,3000000.0,Descalificado,Bogotá
35000000.0,350000000.0,3500000.0,3500000.0,Descalificado,Bogotá
30.0,250.0,6000000.0,6000000.0,Descalificado,Medellín
15000000.0,250000000.0,9000000.0,9000000.0,Descalificado,Bogotá
25000000.0,134000000.0,7000000.0,7000000.0,Alta,Bogotá
45000000.0,200000000.0,13000000.0,13000000.0,Alta,Bogotá
,,,0.0,Descalificado,
50000000.0,150000000.0,5000000.0,5000000.0,Alta,Bogotá
50000000.0,150000000.0,5000000.0,5000000.0,Descalificado,
20000000.0,150000000.0,1600000.0,1600000.0,Descalificado,Bogotá
50000000.0,150000000.0,50000000.0,50000000.0,Descalificado,
,,,0.0,Descalificado,
20000000.0,,4500000.0,4500000.0,Descalificado,Medellín
500000.0,400000000.0,5000000.0,5000000.0,Descalificado,Bogotá
500.0,100000000.0,1300000.0,1300000.0,Descalificado,Bogotá
0.0,120000000.0,4000000.0,4000000.0,Descalificado,Bogotá
30000000.0,480000000.0,4500000.0,4500000.0,Descalificado,Bogotá
64000000.0,320000000.0,16000000.0,16000000.0,Alta,Bogotá
15.0,250000000.0,3600000.0,3600000.0,Descalificado,Bogotá
15000000.0,250000000.0,4000000.0,4000000.0,Descalificado,Bogotá
20000000.0,100000000.0,6000000.0,6000000.0,Descalificado,Santa Marta
225000000.0,450000000.0,12300000.0,12300000.0,Alta,Bogotá
10000000.0,15000000.0,20000000.0,20000000.0,Descalificado,Bogotá
,,,0.0,Descalificado,
50000000.0,300000000.0,9500000.0,9500000.0,Alta,Bogotá
100000000.0,260000000.0,6500000.0,6500000.0,Descalificado,
20000000.0,300000000.0,1000000.0,1000000.0,Descalificado,Bogotá
1234567.0,123456712.0,12345678.0,12345678.0,Descalificado,
0.0,850000000.0,19000000.0,19000000.0,Descalificado,Bogotá
25000000.0,150000000.0,4000000.0,4000000.0,Alta,Bogotá
210000000.0,490000000.0,12000000.0,12000000.0,Alta,Bogotá
43000000.0,220000000.0,4000000.0,4000000.0,Media,Bogotá
27000000.0,160000000.0,7000000.0,7000000.0,Descalificado,
0.0,300000000.0,4000000.0,4000000.0,Descalificado,Bogotá
5000000.0,250000000.0,4000000.0,4000000.0,Descalificado,Bogotá
40000000.0,230000000.0,4000000.0,4000000.0,Media,Bogotá
100000000.0,255000000.0,5500000.0,5500000.0,Alta,Bogotá
20000000.0,300000000.0,6000000.0,6000000.0,Descalificado,Bogotá
20000000.0,200000000.0,4000000.0,4000000.0,Descalificado,Medellín
70000000.0,405000000.0,11000000.0,11000000.0,Descalificado,
450.0,,900000.0,900000.0,Descalificado,Bogotá
9000000.0,165000000.0,3500000.0,3500000.0,Descalificado,Bogotá
450.0,400000000.0,900000.0,900000.0,Descalificado,Bogotá
10000000.0,230000000.0,3000000.0,3000000.0,Descalificado,Bogotá
70000000.0,170000000.0,7000000.0,7000000.0,Alta,Bogotá
25000000000.0,250000000000.0,10000000000000.0,10000000000000.0,Descalificado,Bogotá
25000000000.0,250000000000.0,10000000000000.0,10000000000000.0,Descalificado,Bogotá
25000000000.0,250000000000.0,10000000000000.0,10000000000000.0,Descalificado,Bogotá
0.0,400000000.0,8000000.0,8000000.0,Descalificado,Bogotá
12000000.0,180000000.0,1400000.0,1400000.0,Descalificado,Bogotá
60000000.0,113000000.0,3660000.0,3660000.0,Descalificado,
40000000.0,290000000.0,5700000.0,5700000.0,Media,Bogotá
5000000.0,150000000.0,3500000.0,3500000.0,Descalificado,Medellín
6000000.0,6000000.0,3000000.0,3000000.0,Descalificado,Medellín
0.0,400000000.0,7000000.0,7000000.0,Descalificado,Medellín
35000000.0,212000000.0,4000000.0,4000000.0,Media,Bogotá
52.0,450000000.0,8000000.0,8000000.0,Descalificado,Bogotá
1200000.0,0.0,1900000.0,1900000.0,Descalificado,Bogotá
20000000.0,400000000.0,8000000.0,8000000.0,Descalificado,Medellín
2000000.0,190000000.0,1900000.0,1900000.0,Descalificado,Bogotá
15000000.0,450000000.0,6000000.0,6000000.0,Descalificado,Bogotá
130000000.0,450000000.0,15000000.0,15000000.0,Alta,Bogotá
40000000.0,160000000.0,10000000.0,10000000.0,Descalificado,
8000000.0,180000000.0,2700000.0,2700000.0,Descalificado,Bogotá
40000000.0,135500000.0,4100000.0,4100000.0,Descalificado,
100000000.0,300000000.0,4000000.0,4000000.0,Descalificado,Bogotá
15.0,200.0,5.0,5.0,Descalificado,Bogotá
20000000.0,200000000.0,5000000.0,5000000.0,Descalificado,Pasto
174000000.0,580000000.0,273000000.0,273000000.0,Descalificado,Bogotá
3000000.0,,2600000.0,2600000.0,Descalificado,Bogotá
0.0,200000000.0,6000000.0,6000000.0,Descalificado,Bogotá
20000000.0,400000000.0,19000000.0,19000000.0,Descalificado,Bogotá
39000000.0,240000000.0,5500000.0,5500000.0,Media,Bogotá
0.0,140000000.0,1500000.0,1500000.0,Descalificado,Bogotá
150000000.0,350000000.0,5000000.0,5000000.0,Media,Bogotá
40000000.0,400000000.0,7000000.0,7000000.0,Descalificado,Bogotá
180000000.0,240000000.0,20000000.0,20000000.0,Descalificado,
10000000.0,690000000.0,15000000.0,15000000.0,Descalificado,Bogotá
25000000.0,163000000.0,5000000.0,5000000.0,Media,Bogotá
0.0,,1500000.0,1500000.0,Descalificado,Bogotá
2000000.0,150000000.0,1500000.0,1500000.0,Descalificado,Bogotá
5000000.0,200000000.0,5300000.0,5300000.0,Descalificado,Bogotá
10000000.0,200000000.0,6000000.0,6000000.0,Descalificado,Bogotá
30000000.0,150000000.0,5000000.0,5000000.0,Alta,Bogotá
30000000.0,150000000.0,5000000.0,5000000.0,Descalificado,
15000000.0,190000000.0,1800000.0,1800000.0,Descalificado,Bogotá
6000000.0,,2800000.0,2800000.0,Descalificado,Bogotá
20000000.0,280000000.0,2750000.0,2750000.0,Descalificado,Bogotá
70000000.0,350000000.0,12000000.0,12000000.0,Alta,Bogotá
200000000.0,430000000.0,9000000.0,9000000.0,Alta,Bogotá
38000000.0,250000000.0,5250000.0,5250000.0,Media,Bogotá
10000000.0,400000000.0,8000000.0,8000000.0,Descalificado,Bogotá
43000000.0,220000000.0,4000000.0,4000000.0,Media,Bogotá
70000000.0,450000000.0,36000000.0,36000000.0,Media,Bogotá
70000000.0,153870000.0,3495473.0,3495473.0,Descalificado,
66140000.0,189000000.0,5460000.0,5460000.0,Alta,Bogotá
20000000.0,600000.0,16000000.0,16000000.0,Descalificado,Bogotá
54000000.0,270000000.0,13000000.0,13000000.0,Descalificado,
35000000.0,1700000000.0,10800000.0,10800000.0,Descalificado,
10000000.0,300000000.0,2300000.0,2300000.0,Descalificado,Bogotá
12345678.0,123456789.0,234566543.0,234566543.0,Descalificado,
9000000.0,250000000.0,3500000.0,3500000.0,Descalificado,Medellín
700000000.0,1000000000.0,25000000.0,25000000.0,Descalificado,Bogotá
0.0,250000000.0,2900000.0,2900000.0,Descalificado,Bogotá
50000000.0,250000000.0,3500000.0,3500000.0,Descalificado,Bogotá
180000000.0,390000000.0,5800000.0,5800000.0,Media,Bogotá
110000000.0,700000000.0,20000000.0,20000000.0,Descalificado,Bogotá
40000000.0,227000000.0,5900000.0,5900000.0,Alta,Bogotá
120000000.0,460000000.0,25500000.0,25500000.0,Alta,Bogotá
20000000.0,230000000.0,4500000.0,4500000.0,Descalificado,Bogotá
62000000.0,370000000.0,20590000.0,20590000.0,Descalificado,
37000000.0,240000000.0,5500000.0,5500000.0,Media,Bogotá
80000000.0,250000000.0,5000000.0,5000000.0,Media,Bogotá
65400000.0,180000000.0,5500000.0,5500000.0,Descalificado,
50000000.0,250000000.0,12000000.0,12000000.0,Alta,Bogotá
111000000.0,370000000.0,7000000.0,7000000.0,Descalificado,
30000000.0,160000000.0,5000000.0,5000000.0,Descalificado,
600000000.0,,25000000.0,25000000.0,Descalificado,
80000000.0,550000000.0,15500000.0,15500000.0,Descalificado,
100000000.0,220000000.0,6000000.0,6000000.0,Alta,Bogotá
130000000.0,300000000.0,3000000.0,3000000.0,Descalificado,Medellín
130000000.0,300000000.0,3600000.0,3600000.0,Descalificado,Medellín
50000000.0,120000000.0,4500000.0,4500000.0,Alta,Bogotá
50000000.0,110000000.0,20000000.0,20000000.0,Alta,Bogotá
50000000.0,110000000.0,5000000.0,5000000.0,Alta,Bogotá
30000000.0,170000000.0,10000000.0,10000000.0,Alta,Bogotá
,,,0.0,Descalificado,
,,,0.0,Descalificado,
27000000.0,185000000.0,2300000.0,2300000.0,Descalificado,Bogotá
,,,0.0,Descalificado,
50000000.0,110000000.0,5000000.0,5000000.0,Alta,Bogotá
3000000.0,,4200000.0,4200000.0,Descalificado,Bogotá
5000000.0,180000000.0,4200000.0,4200000.0,Descalificado,Bogotá
50000000.0,110000000.0,5000000.0,5000000.0,Alta,Bogotá
235235235.0,5235235235.0,25323523.0,25323523.0,Descalificado,
,,,0.0,Descalificado,
,,,0.0,Descalificado,
,,,0.0,Descalificado,
,,,0.0,Descalificado,
,,,0.0,Descalificado,
27000000.0,160000000.0,7000000.0,7000000.0,Alta,Bogotá
16000000.0,58000000.0,4900000.0,4900000.0,Descalificado,
111000000.0,370000000.0,10000000.0,10000000.0,Descalificado,
10000000.0,120000000.0,4000000.0,4000000.0,Descalificado,Bogotá
133000000.0,380000000.0,8000000.0,8000000.0,Alta,Bogotá
50000000.0,270000000.0,8000000.0,8000000.0,Descalificado,
6000000.0,240000000.0,3000000.0,3000000.0,Descalificado,Bogotá
100000000.0,500000000.0,30000000.0,30000000.0,Alta,Bogotá
100000000.0,500000000.0,17000000.0,17000000.0,Alta,Bogotá
0.0,180000000.0,3500000.0,3500000.0,Descalificado,Bogotá
200000000.0,550000000.0,12000000.0,12000000.0,Descalificado,Bogotá
1000000.0,100000000.0,1300000.0,1300000.0,Descalificado,Bogotá
2500000.0,500000000.0,3000000.0,3000000.0,Descalificado,Bogotá
15000000.0,200000000.0,7000000.0,7000000.0,Descalificado,Bogotá
200000000.0,615000000.0,12000000.0,12000000.0,Descalificado,Bogotá
34650000.0,210000000.0,18320000.0,18320000.0,Alta,Bogotá
30000000.0,170000000.0,4900000.0,4900000.0,Descalificado,
0.0,,3700000.0,3700000.0,Descalificado,Bogotá
0.0,150000000.0,2300000.0,2300000.0,Descalificado,Bogotá
50000000.0,250000000.0,19000000.0,19000000.0,Alta,Bogotá
30000000.0,160000000.0,4500000.0,4500000.0,Alta,Bogotá
70000000.0,140000000.0,10000000.0,10000000.0,Descalificado,
43000000.0,220000000.0,4000000.0,4000000.0,Media,Bogotá
50000000.0,267000000.0,8000000.0,8000000.0,Alta,Bogotá
40000000.0,200000000.0,10000000.0,10000000.0,Alta,Bogotá
12000000.0,120000000000.0,2200000.0,2200000.0,Descalificado,Bogotá
0.0,450000000.0,0.0,0.0,Descalificado,Medellín
5000000.0,300000000.0,2000000.0,2000000.0,Descalificado,Pereira
22000000.0,300000000.0,7000000.0,7000000.0,Descalificado,Bogotá
150000000.0,400000000.0,8000000.0,8000000.0,Alta,Bogotá
0.0,300000000.0,2000000.0,2000000.0,Descalificado,Bogotá
50000000.0,22000000.0,10300000.0,10300000.0,Descalificado,
50000000.0,150000000.0,4600000.0,4600000.0,Descalificado,
30000000.0,200000000.0,6000000.0,6000000.0,Media,Bogotá
127000000.0,423000000.0,16400000.0,16400000.0,Descalificado,
30000000.0,450000000.0,12000000.0,12000000.0,Descalificado,Cali
15000000.0,300000000.0,5400000.0,5400000.0,Descalificado,Bogotá
30000000.0,180000000.0,4000000.0,4000000.0,Media,Bogotá
30000000.0,450000000.0,1800000.0,1800000.0,Descalificado,Bogotá
30000000.0,450000000.0,1800000.0,1800000.0,Descalificado,Bogotá
30000000.0,450000000.0,1800000.0,1800000.0,Descalificado,Bogotá
30000000.0,450000000.0,1800000.0,1800000.0,Descalificado,Bogotá
30000000.0,450000000.0,1800000.0,1800000.0,Descalificado,Bogotá
5000000.0,165500000.0,1300000.0,1300000.0,Descalificado,Bogotá
20000000.0,250000000.0,5000000.0,5000000.0,Descalificado,Bogotá
300000000.0,70000000.0,5500000.0,5500000.0,Descalificado,Medellín
100000000.0,310000000.0,40000000.0,40000000.0,Alta,Bogotá
31240000.0,156200000.0,8000000.0,8000000.0,Alta,Bogotá
20000000.0,120000000.0,6500000.0,6500000.0,Alta,Bogotá
0.0,300000000.0,2500000.0,2500000.0,Descalificado,Bogotá
60000000.0,260000000.0,15000000.0,15000000.0,Alta,Bogotá
2000000.0,190000000.0,2500000.0,2500000.0,Descalificado,Bogotá
30000000.0,190000000.0,4000000.0,4000000.0,Media,Bogotá
38000000.0,230000000.0,4000000.0,4000000.0,Descalificado,Bogotá
